# EDISCSID                    RA        Dec         V1     R1     I1     V2     R2     I2     V3    R3    I3    OBJFLAG1?   OBJFLAG2?   CLASS_STAR1?   CLASS_STAR   wmin   Starflag  
  EDCSNJ1018569-1213222   10.315811   -12.222839   17.841   99.0     16.722   17.679   99.0     16.494   17.65    99.0     16.45    6       6       1.0     0.98    0.09   0         
  EDCSNJ1018570-1208256   10.315831   -12.140456   25.021   99.0     23.353   24.54    99.0     22.988   24.174   99.0     22.774   3       3       0.95    0.78    0.07   0         
  EDCSNJ1018569-1213284   10.315805   -12.224566   23.271   99.0     22.287   22.683   99.0     21.507   22.473   99.0     21.145   3       3       0.03    0.0     0.1    0         
  EDCSNJ1018570-1209087   10.315825   -12.152407   26.027   99.0     24.85    25.532   99.0     24.615   25.468   99.0     24.771   0       0       0.5     0.69    0.09   0         
  EDCSNJ1018569-1212197   10.315812   -12.205485   26.299   99.0     25.139   25.886   99.0     24.856   25.364   99.0     24.248   0       0       0.4     0.53    0.19   0         
  EDCSNJ1018569-1210367   10.315819   -12.176867   23.483   99.0     22.487   23.242   99.0     22.174   23.227   99.0     22.108   0       0       0.98    0.07    0.18   0         
  EDCSNJ1018569-1210430   10.315808   -12.178612   24.362   99.0     22.799   24.148   99.0     22.497   24.143   99.0     22.575   0       0       0.36    0.02    0.2    0         
  EDCSNJ1018569-1212085   10.315801   -12.202354   24.97    99.0     24.095   24.685   99.0     24.146   24.558   99.0     23.972   0       0       0.93    0.94    0.23   0         
  EDCSNJ1018569-1208496   10.315811   -12.147124   20.146   99.0     17.694   19.988   99.0     17.507   19.962   99.0     17.472   0       0       0.98    0.99    0.09   1         
  EDCSNJ1018569-1212251   10.315795   -12.206972   24.081   99.0     22.773   23.808   99.0     22.504   23.714   99.0     22.403   0       0       0.85    0.03    0.23   0         
  EDCSNJ1018568-1213408   10.315777   -12.227988   25.978   99.0     24.619   26.051   99.0     24.383   27.23    99.0     25.089   0       0       0.42    0.13    0.13   0         
  EDCSNJ1018569-1210135   10.315796   -12.170409   25.743   99.0     25.038   25.558   99.0     25.381   25.455   99.0     27.889   0       0       0.52    0.55    0.21   0         
  EDCSNJ1018569-1210553   10.315792   -12.182031   24.924   99.0     24.396   24.751   99.0     24.076   24.58    99.0     24.131   0       0       0.94    0.87    0.24   0         
  EDCSNJ1018568-1211195   10.315787   -12.18874    27.851   99.0     25.177   26.742   99.0     24.738   26.237   99.0     24.446   0       0       0.47    0.38    0.25   0         
  EDCSNJ1018568-1210522   10.315781   -12.181169   25.271   99.0     24.775   24.896   99.0     24.302   24.637   99.0     24.188   0       0       0.84    0.0     0.25   0         
  EDCSNJ1018567-1212446   10.315757   -12.212376   25.578   99.0     24.792   25.163   99.0     24.537   25.199   99.0     24.704   0       0       0.6     0.59    0.26   0         
  EDCSNJ1018568-1209180   10.31577    -12.155011   25.732   99.0     24.37    25.819   99.0     24.38    25.917   99.0     24.12    0       0       0.75    0.09    0.14   0         
  EDCSNJ1018567-1212174   10.315758   -12.204827   26.042   99.0     24.591   25.834   99.0     24.719   25.99    99.0     24.615   0       0       0.42    0.24    0.28   0         
  EDCSNJ1018568-1209106   10.315768   -12.152953   25.716   99.0     24.684   25.319   99.0     24.121   25.403   99.0     24.067   0       0       0.55    0.02    0.14   0         
  EDCSNJ1018567-1212226   10.315755   -12.206284   25.537   99.0     24.527   25.292   99.0     24.485   25.404   99.0     25.043   0       0       0.73    0.59    0.27   0         
  EDCSNJ1018567-1208140   10.315749   -12.137229   23.643   99.0     21.176   23.505   99.0     21.003   23.526   99.0     20.977   3       3       0.97    0.98    0.08   1         
  EDCSNJ1018567-1211452   10.315738   -12.195878   26.154   99.0     24.856   26.021   99.0     24.545   25.613   99.0     24.594   0       0       0.37    0.57    0.29   0         
  EDCSNJ1018566-1211164   10.315725   -12.1879     25.51    99.0     24.175   25.195   99.0     23.865   24.773   99.0     23.642   3       3       0.54    0.22    0.3    0         
  EDCSNJ1018566-1211151   10.315724   -12.187537   24.575   99.0     23.488   24.186   99.0     23.077   24.064   99.0     22.89    2       2       0.86    0.09    0.29   0         
  EDCSNJ1018566-1211358   10.315722   -12.193271   25.198   99.0     23.904   25.033   99.0     23.491   24.741   99.0     23.31    0       0       0.83    0.14    0.3    0         
  EDCSNJ1018566-1208390   10.315731   -12.144172   25.87    99.0     25.063   25.623   99.0     24.498   25.722   99.0     24.561   0       0       0.46    0.5     0.14   0         
  EDCSNJ1018566-1211039   10.315719   -12.184429   26.937   99.0     25.023   26.427   99.0     24.384   26.514   99.0     24.458   0       0       0.35    0.5     0.31   0         
  EDCSNJ1018566-1209057   10.315724   -12.15159    24.587   99.0     24.135   24.331   99.0     24.176   24.508   99.0     24.836   0       0       0.86    0.1     0.15   0         
  EDCSNJ1018566-1210166   10.315719   -12.171285   25.736   99.0     25.075   25.472   99.0     24.814   25.356   99.0     25.549   0       0       0.48    0.63    0.29   0         
  EDCSNJ1018566-1208278   10.31572    -12.141051   26.309   99.0     25.22    26.423   99.0     25.095   26.994   99.0     24.701   0       0       0.37    0.5     0.14   0         
  EDCSNJ1018566-1210052   10.315714   -12.168115   25.153   99.0     24.335   24.911   99.0     24.271   24.693   99.0     24.111   0       0       0.47    0.05    0.25   0         
  EDCSNJ1018565-1209499   10.315706   -12.163871   23.468   99.0     21.906   23.173   99.0     21.596   23.118   99.0     21.499   0       0       0.26    0.03    0.21   0         
  EDCSNJ1018565-1207569   10.315702   -12.132459   25.658   99.0     24.937   25.377   99.0     25.777   25.336   99.0     25.569   0       0       0.53    0.49    0.03   0         
  EDCSNJ1018565-1208139   10.315701   -12.13719    24.434   99.0     21.794   24.194   99.0     21.597   24.026   99.0     21.523   3       3       0.96    0.98    0.09   1         
  EDCSNJ1018565-1208439   10.315696   -12.145527   26.117   99.0     25.018   26.737   99.0     25.14    27.713   99.0     25.482   0       0       0.41    0.19    0.15   0         
  EDCSNJ1018564-1213415   10.315669   -12.228189   26.188   99.0     25.102   26.164   99.0     25.292   25.683   99.0     25.403   0       0       0.42    0.54    0.17   0         
  EDCSNJ1018564-1210483   10.31568    -12.180091   26.533   99.0     25.017   26.471   99.0     24.556   99.0     99.0     24.588   0       0       0.42    0.37    0.34   0         
  EDCSNJ1018564-1212555   10.315657   -12.215406   22.664   99.0     20.902   22.461   99.0     20.686   22.366   99.0     20.567   3       3       0.98    0.79    0.3    0         
  EDCSNJ1018564-1208064   10.315671   -12.135106   25.72    99.0     24.14    25.175   99.0     23.745   25.047   99.0     23.968   2       2       0.51    0.12    0.07   0         
  EDCSNJ1018564-1212255   10.315654   -12.207097   25.58    99.0     24.225   25.083   99.0     23.911   25.006   99.0     24.06    0       0       0.71    0.59    0.38   0         
  EDCSNJ1018563-1212150   10.315649   -12.204174   24.844   99.0     23.943   24.468   99.0     23.63    24.284   99.0     23.123   1       1       0.95    0.03    0.39   0         
  EDCSNJ1018564-1210167   10.315654   -12.17131    24.669   99.0     23.456   24.422   99.0     23.265   24.274   99.0     23.421   0       0       0.4     0.04    0.36   0         
  EDCSNJ1018563-1212182   10.315642   -12.205055   21.813   99.0     20.848   21.618   99.0     20.656   21.577   99.0     20.621   0       0       0.98    0.97    0.42   0         
  EDCSNJ1018563-1208001   10.315651   -12.13335    24.668   99.0     23.991   24.359   99.0     23.883   24.233   99.0     23.973   0       0       0.96    0.3     0.03   0         
  EDCSNJ1018563-1207578   10.315649   -12.132718   25.044   99.0     24.316   24.6     99.0     23.95    24.218   99.0     23.386   0       0       0.94    0.14    0.03   0         
  EDCSNJ1018563-1213083   10.315628   -12.218959   16.804   99.0     15.979   16.479   99.0     15.388   16.43    99.0     15.305   6       6       1.0     0.88    0.29   0         
  EDCSNJ1018563-1209167   10.315639   -12.154629   24.958   99.0     24.243   24.514   99.0     23.619   24.34    99.0     23.367   3       3       0.02    0.0     0.2    0         
  EDCSNJ1018563-1208072   10.315638   -12.135333   25.385   99.0     24.455   25.004   99.0     24.073   24.818   99.0     23.921   3       3       0.6     0.09    0.08   0         
  EDCSNJ1018563-1209203   10.315633   -12.155647   24.669   99.0     23.599   24.398   99.0     23.482   24.359   99.0     23.556   0       0       0.78    0.02    0.21   0         
  EDCSNJ1018563-1208453   10.315629   -12.145905   26.47    99.0     25.109   27.369   99.0     25.407   99.0     99.0     99.0     0       0       0.45    0.71    0.21   0         
  EDCSNJ1018563-1209135   10.315627   -12.153743   25.255   99.0     23.907   24.77    99.0     23.857   24.537   99.0     23.733   3       3       0.86    0.04    0.21   0         
  EDCSNJ1018562-1209009   10.315621   -12.150249   24.573   99.0     23.568   24.305   99.0     23.319   24.273   99.0     23.461   0       0       0.96    0.06    0.21   0         
  EDCSNJ1018562-1209558   10.315611   -12.165511   22.991   99.0     20.822   22.668   99.0     20.519   22.657   99.0     20.489   0       0       0.93    0.07    0.3    0         
  EDCSNJ1018561-1212485   10.315597   -12.213483   23.373   99.0     21.709   23.072   99.0     21.419   23.045   99.0     21.41    0       0       0.07    0.03    0.42   0         
  EDCSNJ1018561-1213297   10.315591   -12.224903   21.491   99.0     19.57    20.985   99.0     19.091   20.829   99.0     18.952   3       3       0.05    0.03    0.23   0         
  EDCSNJ1018562-1207502   10.315612   -12.130624   23.678   99.0     22.223   23.299   99.0     21.816   23.141   99.0     21.698   0       0       0.72    0.03    0.0    0         
  EDCSNJ1018562-1208291   10.315606   -12.141414   25.851   99.0     24.43    25.379   99.0     24.004   25.559   99.0     23.936   0       0       0.63    0.02    0.2    0         
  EDCSNJ1018562-1210099   10.315603   -12.169413   24.43    99.0     22.922   24.114   99.0     22.674   24.078   99.0     22.757   3       3       0.79    0.12    0.39   0         
  EDCSNJ1018562-1209356   10.315603   -12.159879   26.152   99.0     24.887   26.352   99.0     25.198   25.804   99.0     25.689   0       0       0.49    0.63    0.23   0         
  EDCSNJ1018562-1209152   10.315601   -12.154221   23.778   99.0     22.817   23.25    99.0     22.27    23.106   99.0     22.125   3       3       0.06    0.02    0.23   0         
  EDCSNJ1018561-1210500   10.315594   -12.180542   25.395   99.0     24.72    25.368   99.0     24.928   25.9     99.0     25.735   0       0       0.69    0.03    0.47   0         
  EDCSNJ1018561-1210124   10.315595   -12.170116   21.337   21.035   20.659   21.154   20.852   20.488   21.117   20.815   20.441   3       3       0.99    0.98    0.38   1         
  EDCSNJ1018561-1210197   10.315592   -12.172142   25.116   99.0     24.394   24.775   99.0     24.015   24.727   99.0     24.002   0       0       0.49    0.54    0.46   0         
  EDCSNJ1018561-1213543   10.315572   -12.231751   25.112   99.0     24.384   24.794   99.0     24.025   24.402   99.0     24.098   3       3       0.67    0.78    0.25   0         
  EDCSNJ1018561-1213565   10.315571   -12.232372   24.238   99.0     23.445   23.674   99.0     22.875   23.54    99.0     22.707   2       2       0.54    0.0     0.24   0         
  EDCSNJ1018560-1212290   10.315561   -12.20806    25.979   99.0     24.881   25.713   99.0     24.603   25.976   99.0     25.088   0       0       0.53    0.51    0.5    0         
  EDCSNJ1018560-1212214   10.315556   -12.20594    26.143   99.0     25.177   26.134   99.0     24.979   26.414   99.0     25.035   0       0       0.36    0.53    0.51   0         
  EDCSNJ1018560-1211251   10.31556    -12.190295   24.596   99.0     23.464   24.186   99.0     23.115   24.091   99.0     23.058   0       0       0.2     0.01    0.5    0         
  EDCSNJ1018560-1208469   10.315562   -12.14636    26.444   99.0     25.578   27.242   99.0     99.0     99.0     99.0     99.0     0       0       0.37    0.5     0.25   0         
  EDCSNJ1018559-1212172   10.315537   -12.204764   25.916   99.0     25.247   25.782   99.0     26.177   25.759   99.0     99.0     0       0       0.49    0.5     0.57   0         
  EDCSNJ1018559-1211497   10.315534   -12.197149   25.929   99.0     25.429   26.058   99.0     26.76    27.011   99.0     99.0     0       0       0.5     0.5     0.58   0         
  EDCSNJ1018559-1213266   10.315515   -12.224067   21.553   99.0     20.101   21.247   99.0     19.779   21.199   99.0     19.735   3       3       0.91    0.03    0.3    0         
  EDCSNJ1018559-1208232   10.315533   -12.139785   25.755   99.0     24.939   25.027   99.0     24.316   24.415   99.0     23.942   0       0       0.59    0.66    0.2    0         
  EDCSNJ1018559-1209161   10.315518   -12.154462   25.346   99.0     24.487   25.345   99.0     24.693   25.281   99.0     24.493   0       0       0.75    0.18    0.29   0         
  EDCSNJ1018558-1212482   10.315498   -12.213401   25.461   99.0     24.942   25.521   99.0     25.229   26.141   99.0     24.983   0       0       0.78    0.48    0.58   0         
  EDCSNJ1018558-1208251   10.315505   -12.140313   25.829   99.0     24.888   25.686   99.0     24.709   25.56    99.0     24.387   0       0       0.38    0.51    0.22   0         
  EDCSNJ1018558-1210002   10.315497   -12.166711   25.828   99.0     25.229   25.593   99.0     25.387   25.236   99.0     25.704   0       0       0.51    0.69    0.46   0         
  EDCSNJ1018558-1211454   10.315487   -12.19594    26.009   99.0     24.58    25.476   99.0     24.039   25.481   99.0     24.201   0       0       0.43    0.12    0.65   0         
  EDCSNJ1018558-1209235   10.315493   -12.156536   25.183   99.0     24.738   24.962   99.0     25.084   25.25    99.0     25.375   0       0       0.86    0.59    0.31   0         
  EDCSNJ1018558-1207442   10.315494   -12.128944   27.652   99.0     24.537   27.267   99.0     24.225   26.033   99.0     24.287   0       0       0.52    0.71    0.0    0         
