# EDISCSID                    RA        Dec         V1     R1     I1     V2     R2     I2     V3    R3    I3    OBJFLAG1?   OBJFLAG2?   CLASS_STAR1?   CLASS_STAR   wmin   Starflag  
  EDCSNJ1018512-1214201   10.314236   -12.23893    21.659   20.426   18.727   21.487   20.254   18.546   21.45    20.217   18.509   0       0       0.99    0.98    0.5    1         
  EDCSNJ1018513-1209571   10.314246   -12.16586    21.665   99.0     20.895   21.506   99.0     20.734   21.488   99.0     20.711   0       0       0.98    0.98    0.71   0         
  EDCSNJ1018512-1212331   10.314236   -12.209197   24.62    99.0     23.804   24.361   99.0     23.511   24.409   99.0     23.609   0       0       0.96    0.1     0.99   0         
  EDCSNJ1018513-1207461   10.314245   -12.12948    25.121   99.0     23.978   24.934   99.0     23.534   24.718   99.0     23.351   0       0       0.92    0.08    0.0    0         
  EDCSNJ1018512-1213228   10.314225   -12.223005   21.321   20.51    19.183   21.155   20.344   19.015   21.133   20.322   18.984   0       0       0.98    0.98    0.5    1         
  EDCSNJ1018512-1209461   10.31423    -12.162804   25.463   99.0     24.56    25.402   99.0     24.771   25.047   99.0     24.64    0       0       0.69    0.68    0.6    0         
  EDCSNJ1018512-1211293   10.314222   -12.191459   27.116   99.0     25.361   26.823   99.0     27.423   25.86    99.0     27.678   0       0       0.45    0.49    0.99   0         
  EDCSNJ1018512-1210505   10.314216   -12.180692   26.114   99.0     24.657   25.908   99.0     24.765   25.796   99.0     26.056   0       0       0.38    0.69    0.99   0         
  EDCSNJ1018512-1210464   10.314215   -12.179548   24.336   99.0     22.695   24.062   99.0     22.399   24.007   99.0     22.345   3       3       0.97    0.15    0.99   0         
  EDCSNJ1018511-1211254   10.314194   -12.190402   26.012   99.0     24.551   25.649   99.0     24.189   25.883   99.0     24.47    0       0       0.37    0.34    0.99   0         
  EDCSNJ1018511-1209426   10.314192   -12.161839   25.263   99.0     24.357   24.883   99.0     24.055   24.743   99.0     24.0     0       0       0.89    0.09    0.57   0         
  EDCSNJ1018511-1207554   10.314191   -12.132063   25.55    99.0     24.852   25.393   99.0     24.53    25.142   99.0     24.345   0       0       0.55    0.66    0.08   0         
  EDCSNJ1018510-1213405   10.314173   -12.227907   26.801   99.0     24.701   25.973   99.0     24.39    25.977   99.0     24.338   0       0       0.4     0.68    0.5    0         
  EDCSNJ1018511-1211199   10.314182   -12.18887    23.637   99.0     22.05    23.383   99.0     21.788   23.337   99.0     21.751   0       0       0.96    0.04    0.99   0         
  EDCSNJ1018511-1209187   10.314184   -12.155203   26.155   99.0     24.808   25.342   99.0     24.043   24.745   99.0     23.561   0       0       0.45    0.69    0.5    0         
  EDCSNJ1018510-1213356   10.314169   -12.226566   25.986   99.0     24.696   25.991   99.0     25.006   26.02    99.0     25.337   0       0       0.37    0.44    0.5    0         
  EDCSNJ1018510-1210453   10.314179   -12.17926    24.424   99.0     22.723   24.136   99.0     22.443   24.113   99.0     22.347   3       3       0.95    0.03    1.0    0         
  EDCSNJ1018510-1211084   10.314178   -12.185679   26.116   99.0     24.714   25.991   99.0     24.567   25.769   99.0     25.202   0       0       0.38    0.27    0.99   0         
  EDCSNJ1018510-1213008   10.314162   -12.216881   25.292   99.0     24.687   25.024   99.0     24.649   25.073   99.0     24.855   0       0       0.79    0.28    0.78   0         
  EDCSNJ1018510-1212189   10.314164   -12.205249   26.313   99.0     24.284   26.134   99.0     24.141   26.0     99.0     23.983   0       0       0.41    0.09    0.99   0         
  EDCSNJ1018510-1211397   10.314163   -12.194354   24.321   99.0     22.414   24.084   99.0     22.117   24.073   99.0     22.079   0       0       0.6     0.03    0.99   0         
  EDCSNJ1018510-1210352   10.314165   -12.176445   28.721   99.0     25.545   28.457   99.0     25.267   99.0     99.0     25.02    0       0       0.35    0.39    1.0    0         
  EDCSNJ1018510-1207443   10.314165   -12.128966   28.97    99.0     24.781   29.105   99.0     24.465   27.478   99.0     24.163   0       0       0.4     0.24    0.0    0         
  EDCSNJ1018510-1207574   10.314164   -12.132621   25.897   99.0     25.356   25.847   99.0     25.263   25.747   99.0     25.368   0       0       0.66    0.5     0.09   0         
  EDCSNJ1018510-1211521   10.314154   -12.19781    23.237   99.0     21.851   22.992   99.0     21.595   22.939   99.0     21.592   0       0       0.87    0.04    0.99   0         
  EDCSNJ1018510-1210017   10.314158   -12.167131   23.896   99.0     21.981   23.481   99.0     21.61    23.426   99.0     21.559   0       0       0.09    0.03    0.78   0         
  EDCSNJ1018510-1209086   10.314156   -12.1524     26.599   99.0     24.219   25.936   99.0     23.912   25.897   99.0     23.678   0       0       0.38    0.01    0.49   0         
  EDCSNJ1018509-1208471   10.314148   -12.146404   26.267   99.0     24.845   26.136   99.0     24.712   26.811   99.0     24.634   0       0       0.49    0.73    0.49   0         
  EDCSNJ1018509-1209173   10.314139   -12.154815   24.311   99.0     23.455   23.839   99.0     22.964   23.732   99.0     22.808   0       0       0.06    0.01    0.5    0         
  EDCSNJ1018509-1209423   10.314137   -12.161745   28.144   99.0     25.384   27.282   99.0     26.135   26.163   99.0     25.439   0       0       0.36    0.49    0.55   0         
  EDCSNJ1018509-1212124   10.314129   -12.203442   25.843   99.0     24.866   25.224   99.0     24.277   24.898   99.0     24.158   0       0       0.45    0.55    0.99   0         
  EDCSNJ1018509-1210534   10.314132   -12.181509   27.272   99.0     24.407   27.007   99.0     23.939   26.71    99.0     24.532   0       0       0.37    0.16    0.99   0         
  EDCSNJ1018508-1212302   10.314124   -12.208377   24.495   99.0     21.914   24.312   99.0     21.703   24.321   99.0     21.655   0       0       0.86    0.13    0.99   0         
  EDCSNJ1018508-1213407   10.314117   -12.22796    24.322   99.0     23.315   23.875   99.0     22.902   23.65    99.0     22.741   3       3       0.42    0.01    0.49   0         
  EDCSNJ1018508-1213230   10.314116   -12.223056   25.481   99.0     24.201   24.887   99.0     23.776   24.509   99.0     23.482   0       0       0.62    0.56    0.5    0         
  EDCSNJ1018508-1213096   10.314113   -12.219336   25.78    99.0     25.225   25.966   99.0     24.963   26.26    99.0     25.893   0       0       0.62    0.46    0.66   0         
  EDCSNJ1018508-1210069   10.314123   -12.168572   25.142   99.0     24.149   24.96    99.0     24.017   24.926   99.0     24.062   0       0       0.86    0.2     0.84   0         
  EDCSNJ1018508-1211093   10.314115   -12.185924   24.922   99.0     22.835   24.393   99.0     22.353   24.333   99.0     22.268   3       3       0.08    0.02    0.99   0         
  EDCSNJ1018508-1214163   10.314098   -12.237863   24.691   99.0     23.911   24.41    99.0     23.689   24.337   99.0     23.668   3       3       0.6     0.04    0.5    0         
  EDCSNJ1018507-1214180   10.314097   -12.238328   25.748   99.0     24.654   25.396   99.0     24.616   25.525   99.0     24.828   3       3       0.54    0.09    0.5    0         
  EDCSNJ1018508-1213558   10.314098   -12.232175   24.883   99.0     23.276   24.364   99.0     22.73    24.148   99.0     22.663   2       2       0.38    0.01    0.5    0         
  EDCSNJ1018507-1213248   10.31409    -12.223545   26.086   99.0     25.0     25.689   99.0     24.644   25.305   99.0     24.489   0       0       0.36    0.59    0.49   0         
  EDCSNJ1018508-1209596   10.314098   -12.166568   24.384   99.0     22.698   24.127   99.0     22.324   24.167   99.0     22.313   3       3       0.98    0.08    0.74   0         
  EDCSNJ1018508-1208083   10.314101   -12.135647   24.238   99.0     22.616   23.836   99.0     22.269   23.677   99.0     22.206   3       3       0.62    0.13    0.2    0         
  EDCSNJ1018507-1211192   10.314087   -12.188657   25.807   99.0     24.328   25.186   99.0     24.276   25.03    99.0     24.653   0       0       0.46    0.15    0.98   0         
  EDCSNJ1018507-1210171   10.314089   -12.171411   24.762   99.0     23.757   24.454   99.0     23.523   24.316   99.0     23.38    0       0       0.96    0.11    0.95   0         
  EDCSNJ1018507-1208362   10.31409    -12.143398   22.713   99.0     21.37    22.209   99.0     20.86    22.133   99.0     20.782   0       0       0.03    0.03    0.5    0         
  EDCSNJ1018507-1213403   10.314073   -12.227861   24.185   99.0     23.254   23.832   99.0     22.942   23.67    99.0     22.774   3       3       0.75    0.02    0.5    0         
  EDCSNJ1018507-1212592   10.314073   -12.216439   25.223   99.0     24.476   25.201   99.0     24.574   25.277   99.0     24.427   0       0       0.79    0.33    0.8    0         
  EDCSNJ1018506-1214124   10.314061   -12.23678    25.102   99.0     23.555   24.585   99.0     23.06    24.291   99.0     22.902   2       2       0.61    0.01    0.5    0         
  EDCSNJ1018506-1214175   10.314061   -12.238192   25.901   99.0     24.398   26.559   99.0     24.343   25.484   99.0     24.161   1       1       0.66    0.27    0.49   0         
  EDCSNJ1018507-1208000   10.314078   -12.133339   26.016   99.0     25.639   25.988   99.0     26.135   25.663   99.0     26.564   0       0       0.66    0.45    0.13   0         
  EDCSNJ1018507-1209161   10.314074   -12.154478   25.637   99.0     24.924   25.224   99.0     24.706   24.533   99.0     23.989   0       0       0.61    0.51    0.49   0         
  EDCSNJ1018506-1211589   10.314063   -12.199683   26.733   99.0     23.846   25.705   99.0     23.413   24.985   99.0     23.22    0       0       0.35    0.28    0.99   0         
  EDCSNJ1018506-1211561   10.314062   -12.198924   25.424   99.0     24.794   24.861   99.0     24.406   24.819   99.0     24.386   0       0       0.7     0.48    0.99   0         
  EDCSNJ1018506-1211472   10.314061   -12.196458   25.421   99.0     25.009   25.317   99.0     24.893   25.323   99.0     25.158   0       0       0.54    0.45    0.99   0         
  EDCSNJ1018506-1208472   10.314066   -12.146456   24.678   99.0     22.18    24.465   99.0     21.951   24.446   99.0     21.916   0       0       0.96    0.92    0.5    0         
  EDCSNJ1018506-1213161   10.314049   -12.221148   24.544   99.0     23.61    23.973   99.0     22.997   23.795   99.0     22.844   2       2       0.03    0.04    0.61   0         
  EDCSNJ1018506-1209576   10.31406    -12.16601    22.769   99.0     20.875   22.135   99.0     20.222   22.017   99.0     20.094   3       3       0.03    0.03    0.71   0         
  EDCSNJ1018506-1214100   10.314042   -12.236109   26.868   99.0     25.018   26.514   99.0     24.793   26.047   99.0     24.177   0       0       0.39    0.53    0.49   0         
  EDCSNJ1018506-1211113   10.314054   -12.186463   20.936   20.094   18.503   20.771   19.929   18.335   20.738   19.896   18.303   3       3       0.99    0.99    0.99   1         
  EDCSNJ1018506-1210195   10.314054   -12.172091   24.612   99.0     24.097   24.458   99.0     23.832   24.384   99.0     23.797   0       0       0.96    0.06    0.98   0         
  EDCSNJ1018505-1214144   10.314038   -12.237329   25.258   99.0     24.617   24.961   99.0     24.138   24.715   99.0     23.885   0       0       0.74    0.56    0.49   0         
  EDCSNJ1018505-1213462   10.314039   -12.229493   26.084   99.0     25.177   25.855   99.0     25.198   25.788   99.0     28.54    0       0       0.48    0.52    0.5    0         
  EDCSNJ1018505-1213440   10.314038   -12.228902   25.125   99.0     24.076   24.687   99.0     23.832   24.423   99.0     23.78    0       0       0.25    0.18    0.5    0         
  EDCSNJ1018506-1212010   10.314042   -12.200277   25.084   99.0     24.103   24.696   99.0     23.63    24.344   99.0     23.347   0       0       0.93    0.85    0.99   0         
  EDCSNJ1018506-1208101   10.314046   -12.136135   22.748   99.0     19.471   22.541   99.0     19.297   22.512   99.0     19.255   2       2       0.98    0.98    0.21   1         
  EDCSNJ1018505-1212313   10.31403    -12.208696   24.656   99.0     23.263   24.189   99.0     22.786   24.149   99.0     22.735   0       0       0.09    0.02    0.99   0         
  EDCSNJ1018505-1212529   10.314028   -12.214705   25.483   99.0     24.811   25.307   99.0     24.528   25.264   99.0     25.064   0       0       0.62    0.64    0.85   0         
  EDCSNJ1018505-1209185   10.314039   -12.155134   25.294   99.0     24.103   25.021   99.0     24.183   24.805   99.0     24.056   0       0       0.7     0.12    0.5    0         
  EDCSNJ1018505-1208201   10.314039   -12.138912   25.284   99.0     22.933   25.084   99.0     22.699   25.07    99.0     22.788   0       0       0.85    0.7     0.34   0         
  EDCSNJ1018505-1210164   10.314035   -12.171215   24.433   99.0     23.54    23.891   99.0     22.92    23.746   99.0     22.796   1       1       0.02    0.03    0.93   0         
  EDCSNJ1018505-1209146   10.314034   -12.154067   25.914   99.0     24.516   25.427   99.0     24.246   25.028   99.0     24.194   0       0       0.44    0.72    0.5    0         
  EDCSNJ1018505-1213157   10.31402    -12.221028   25.577   99.0     24.323   25.007   99.0     23.898   24.71    99.0     23.467   3       3       0.63    0.19    0.63   0         
  EDCSNJ1018505-1209595   10.314031   -12.16654    22.511   21.7     20.311   22.318   21.507   20.106   22.306   21.495   20.08    3       3       0.98    0.98    0.74   1         
  EDCSNJ1018505-1212209   10.314018   -12.205814   25.903   99.0     24.963   25.263   99.0     24.315   24.977   99.0     24.102   0       0       0.37    0.69    0.99   0         
  EDCSNJ1018505-1212026   10.314019   -12.200724   26.093   99.0     24.961   25.119   99.0     24.125   24.647   99.0     23.555   0       0       0.46    0.48    0.99   0         
  EDCSNJ1018504-1214205   10.314006   -12.239033   25.14    99.0     24.318   24.818   99.0     23.926   24.787   99.0     23.909   0       0       0.62    0.29    0.5    0         
  EDCSNJ1018504-1211547   10.31401    -12.198523   25.581   99.0     24.009   25.034   99.0     23.681   24.602   99.0     23.483   0       0       0.47    0.49    0.99   0         
  EDCSNJ1018504-1213027   10.314003   -12.21741    24.652   99.0     23.535   24.195   99.0     23.157   23.989   99.0     22.968   0       0       0.23    0.04    0.77   0         
  EDCSNJ1018504-1210509   10.314001   -12.180818   26.311   99.0     24.814   26.356   99.0     24.803   25.447   99.0     24.428   0       0       0.48    0.63    0.99   0         
  EDCSNJ1018504-1212041   10.313997   -12.20115    26.33    99.0     24.859   25.5     99.0     24.413   25.264   99.0     24.076   0       0       0.37    0.48    0.99   0         
  EDCSNJ1018504-1209477   10.314003   -12.163254   18.492   18.118   17.7     18.341   17.967   17.529   18.314   17.94    17.497   0       0       0.99    0.98    0.61   1         
  EDCSNJ1018504-1211097   10.313995   -12.186024   24.785   99.0     23.403   24.409   99.0     22.984   24.334   99.0     22.938   3       3       0.04    0.01    0.98   0         
  EDCSNJ1018503-1212186   10.313983   -12.20518    25.461   99.0     24.881   25.192   99.0     24.491   24.826   99.0     23.82    0       0       0.67    0.68    0.99   0         
  EDCSNJ1018504-1207505   10.313987   -12.130691   24.764   99.0     24.265   24.387   99.0     23.916   24.273   99.0     23.916   0       0       0.95    0.3     0.0    0         
  EDCSNJ1018503-1207439   10.313981   -12.128874   27.56    99.0     25.125   28.548   99.0     24.614   27.116   99.0     24.459   2       2       0.6     0.38    0.0    0         
  EDCSNJ1018502-1213189   10.313956   -12.221911   26.144   99.0     24.784   25.827   99.0     24.812   26.532   99.0     24.825   0       0       0.47    0.6     0.57   0         
  EDCSNJ1018503-1208589   10.313967   -12.149685   24.024   22.63    20.946   23.661   22.267   20.728   23.637   22.243   20.677   3       3       0.78    0.98    0.49   1         
  EDCSNJ1018503-1210001   10.313963   -12.166686   25.927   99.0     24.722   25.944   99.0     24.822   26.108   99.0     25.678   0       0       0.52    0.7     0.74   0         
  EDCSNJ1018502-1211181   10.313957   -12.188372   26.625   99.0     24.933   28.325   99.0     25.769   99.0     99.0     26.268   0       0       0.39    0.7     0.99   0         
  EDCSNJ1018503-1209408   10.313961   -12.161344   27.351   99.0     24.816   26.982   99.0     24.536   25.836   99.0     23.912   0       0       0.35    0.69    0.53   0         
  EDCSNJ1018502-1210531   10.31395    -12.18142    25.784   99.0     24.071   25.097   99.0     23.733   25.005   99.0     23.587   0       0       0.67    0.08    0.99   0         
  EDCSNJ1018502-1214129   10.313935   -12.236929   23.572   99.0     22.778   23.143   99.0     22.401   23.094   99.0     22.407   0       0       0.91    0.52    0.49   0         
  EDCSNJ1018502-1211387   10.313946   -12.194085   18.449   99.0     16.772   18.298   99.0     16.562   18.272   99.0     16.522   0       4       0.99    1.0     0.99   0         
  EDCSNJ1018502-1208044   10.313952   -12.134551   23.931   99.0     22.883   23.664   99.0     22.685   23.646   99.0     22.697   0       0       0.98    0.12    0.16   0         
  EDCSNJ1018502-1213231   10.313932   -12.223093   26.99    99.0     25.123   30.355   99.0     25.57    99.0     99.0     25.873   0       0       0.43    0.5     0.5    0         
  EDCSNJ1018502-1213312   10.313931   -12.225329   24.769   99.0     24.072   24.381   99.0     23.667   24.101   99.0     23.416   0       0       0.23    0.08    0.5    0         
  EDCSNJ1018501-1214277   10.313925   -12.241014   24.044   99.0     23.103   23.771   99.0     22.831   23.739   99.0     22.803   0       0       0.97    0.1     0.5    0         
  EDCSNJ1018502-1209341   10.313939   -12.159464   24.872   24.135   23.181   24.661   23.924   22.998   24.576   23.839   22.825   0       0       0.94    0.98    0.49   1         
  EDCSNJ1018502-1210305   10.313935   -12.175145   24.148   99.0     22.016   23.338   99.0     21.351   23.039   99.0     21.144   2       2       0.01    0.03    0.99   0         
  EDCSNJ1018502-1210271   10.313933   -12.174208   26.316   99.0     24.487   26.252   99.0     24.241   25.85    99.0     24.05    3       3       0.4     0.62    0.97   0         
  EDCSNJ1018501-1211002   10.313928   -12.183385   26.047   99.0     24.193   25.936   99.0     24.208   26.211   99.0     24.193   0       0       0.68    0.86    0.99   0         
  EDCSNJ1018501-1208588   10.31393    -12.149653   23.268   99.0     21.929   22.887   99.0     21.548   22.869   99.0     21.488   3       3       0.57    0.07    0.5    0         
  EDCSNJ1018501-1213294   10.313913   -12.224834   25.607   99.0     24.83    24.94    99.0     24.553   24.649   99.0     24.473   0       0       0.58    0.55    0.5    0         
  EDCSNJ1018500-1214209   10.313902   -12.239134   26.165   99.0     24.293   26.013   99.0     24.194   26.034   99.0     24.536   0       0       0.46    0.85    0.5    0         
  EDCSNJ1018501-1208041   10.313913   -12.134466   27.843   99.0     24.686   27.939   99.0     25.227   99.0     99.0     99.0     1       1       0.38    0.38    0.16   0         
  EDCSNJ1018501-1208263   10.313909   -12.140629   25.523   99.0     24.07    25.022   99.0     23.836   24.921   99.0     23.682   0       0       0.66    0.91    0.4    0         
  EDCSNJ1018501-1210066   10.313903   -12.168492   25.472   99.0     24.402   25.291   99.0     24.288   25.441   99.0     24.186   0       0       0.65    0.78    0.82   0         
  EDCSNJ1018501-1208110   10.313906   -12.136397   20.895   99.0     18.709   20.742   99.0     18.536   20.717   99.0     18.503   0       0       0.99    0.99    0.23   1         
  EDCSNJ1018500-1213326   10.313889   -12.225724   26.833   99.0     25.537   26.06    99.0     24.793   25.756   99.0     24.36    0       0       0.41    0.49    0.49   0         
  EDCSNJ1018500-1212333   10.313893   -12.209244   24.455   99.0     23.62    23.969   99.0     23.201   23.874   99.0     23.191   0       0       0.01    0.0     1.0    0         
  EDCSNJ1018500-1209326   10.313893   -12.159064   25.026   99.0     24.378   24.798   99.0     24.322   24.797   99.0     24.367   0       0       0.95    0.8     0.5    0         
  EDCSNJ1018500-1214028   10.313877   -12.234114   23.038   99.0     21.841   22.532   99.0     21.322   22.444   99.0     21.193   0       0       0.24    0.04    0.5    0         
  EDCSNJ1018500-1212495   10.313882   -12.21376    25.547   99.0     22.762   25.888   99.0     22.609   26.68    99.0     22.515   0       0       0.61    0.92    0.89   0         
  EDCSNJ1018500-1212040   10.313882   -12.201109   25.97    99.0     24.405   25.371   99.0     24.109   25.043   99.0     24.063   0       0       0.55    0.0     0.99   0         
  EDCSNJ1018500-1208310   10.313888   -12.141937   24.239   23.723   23.243   23.998   23.482   23.107   23.904   23.388   23.067   0       0       0.97    0.97    0.49   1         
  EDCSNJ1018500-1209162   10.313886   -12.154487   25.921   99.0     24.18    25.81    99.0     24.056   25.774   99.0     24.444   0       0       0.51    0.8     0.49   0         
  EDCSNJ1018500-1208239   10.313887   -12.139962   27.773   99.0     24.94    26.271   99.0     25.26    26.0     99.0     24.929   0       0       0.36    0.29    0.36   0         
  EDCSNJ1018500-1211087   10.313881   -12.185746   22.582   99.0     21.2     22.325   99.0     20.948   22.283   99.0     20.905   3       3       0.98    0.1     0.99   0         
  EDCSNJ1018500-1211000   10.313876   -12.183337   23.021   22.578   22.16    22.846   22.403   21.983   22.817   22.374   21.932   0       0       0.98    0.98    0.99   1         
  EDCSNJ1018499-1213315   10.313864   -12.225422   26.081   99.0     25.183   25.828   99.0     24.708   24.992   99.0     24.158   0       0       0.54    0.49    0.5    0         
  EDCSNJ1018499-1211257   10.313867   -12.190473   26.003   99.0     24.59    25.834   99.0     24.414   25.448   99.0     24.657   0       0       0.68    0.59    0.99   0         
  EDCSNJ1018499-1214309   10.313848   -12.241928   25.15    99.0     23.923   24.6     99.0     23.482   24.494   99.0     23.334   0       0       0.35    0.0     0.49   0         
  EDCSNJ1018499-1213122   10.313855   -12.220061   25.569   99.0     24.814   25.58    99.0     24.595   25.718   99.0     24.412   0       0       0.6     0.71    0.64   0         
  EDCSNJ1018499-1210209   10.313862   -12.172483   24.405   99.0     23.673   24.107   99.0     23.359   24.112   99.0     23.411   0       0       0.02    0.0     0.99   0         
  EDCSNJ1018499-1208281   10.313865   -12.141151   24.035   99.0     23.146   23.595   99.0     22.741   23.444   99.0     22.647   0       0       0.15    0.01    0.42   0         
  EDCSNJ1018499-1209124   10.313863   -12.15344    25.536   99.0     24.267   25.273   99.0     24.099   25.102   99.0     24.433   0       0       0.49    0.17    0.5    0         
  EDCSNJ1018499-1212542   10.313849   -12.215067   26.691   99.0     25.18    26.681   99.0     24.969   26.326   99.0     25.661   0       0       0.43    0.56    0.85   0         
  EDCSNJ1018499-1212051   10.313852   -12.201415   25.958   99.0     24.815   25.505   99.0     24.581   25.317   99.0     24.402   0       0       0.45    0.4     0.99   0         
  EDCSNJ1018498-1213596   10.313842   -12.233215   25.886   99.0     24.689   25.583   99.0     24.369   25.245   99.0     24.18    0       0       0.55    0.56    0.5    0         
  EDCSNJ1018499-1212323   10.313848   -12.208971   26.11    99.0     24.262   25.856   99.0     23.974   25.516   99.0     24.008   0       0       0.45    0.08    0.99   0         
  EDCSNJ1018498-1212455   10.313846   -12.212642   26.353   99.0     24.746   26.204   99.0     24.886   25.814   99.0     25.366   0       0       0.46    0.7     0.95   0         
  EDCSNJ1018498-1213081   10.313843   -12.218916   26.404   99.0     24.986   26.594   99.0     24.274   26.661   99.0     24.07    0       0       0.46    0.73    0.68   0         
  EDCSNJ1018498-1214120   10.313837   -12.236677   24.262   99.0     22.848   23.949   99.0     22.646   23.885   99.0     22.613   0       0       0.95    0.34    0.49   0         
  EDCSNJ1018499-1209058   10.313848   -12.15162    25.578   99.0     24.617   25.19    99.0     24.695   25.073   99.0     24.506   0       0       0.64    0.66    0.5    0         
  EDCSNJ1018498-1214089   10.313829   -12.235816   25.722   99.0     25.246   25.544   99.0     24.951   25.515   99.0     25.041   0       0       0.6     0.46    0.5    0         
  EDCSNJ1018498-1209451   10.313837   -12.162519   25.595   99.0     23.9     25.409   99.0     23.773   25.268   99.0     23.534   0       0       0.59    0.72    0.59   0         
  EDCSNJ1018498-1209487   10.313831   -12.163539   25.742   99.0     24.211   25.492   99.0     23.903   25.571   99.0     23.781   0       0       0.73    0.08    0.62   0         
  EDCSNJ1018497-1213461   10.313815   -12.229469   24.207   99.0     21.806   23.616   99.0     21.165   23.453   99.0     20.997   0       0       0.82    0.03    0.5    0         
  EDCSNJ1018498-1211087   10.313824   -12.185751   23.848   99.0     21.762   23.524   99.0     21.502   23.466   99.0     21.471   3       3       0.86    0.07    0.99   0         
  EDCSNJ1018498-1209234   10.313827   -12.15649    25.081   99.0     23.724   24.636   99.0     23.481   24.71    99.0     23.469   0       0       0.11    0.04    0.5    0         
  EDCSNJ1018497-1211009   10.313816   -12.183592   24.023   99.0     22.466   23.685   99.0     22.178   23.625   99.0     22.182   0       0       0.91    0.25    0.99   0         
  EDCSNJ1018497-1209346   10.313818   -12.159608   26.697   99.0     24.755   27.005   99.0     24.357   27.818   99.0     24.123   0       0       0.38    0.67    0.5    0         
  EDCSNJ1018497-1212359   10.313807   -12.209978   25.076   99.0     24.236   24.803   99.0     23.998   24.689   99.0     23.976   0       0       0.95    0.1     0.99   0         
  EDCSNJ1018497-1211514   10.313806   -12.197624   25.53    99.0     24.56    25.099   99.0     24.153   24.754   99.0     24.112   0       0       0.59    0.38    0.99   0         
  EDCSNJ1018497-1211242   10.313806   -12.190066   23.533   99.0     21.391   23.204   99.0     21.126   23.18    99.0     21.077   0       0       0.98    0.63    1.0    0         
  EDCSNJ1018497-1209512   10.31381    -12.164217   24.499   99.0     22.934   24.067   99.0     22.587   23.864   99.0     22.475   3       3       0.19    0.02    0.66   0         
  EDCSNJ1018497-1208585   10.313811   -12.149591   24.602   99.0     23.682   24.391   99.0     23.484   24.478   99.0     23.636   0       0       0.89    0.14    0.5    0         
  EDCSNJ1018497-1213194   10.313797   -12.222059   24.017   99.0     22.653   23.72    99.0     22.396   23.58    99.0     22.325   0       0       0.26    0.04    0.57   0         
  EDCSNJ1018497-1208422   10.313806   -12.145061   25.693   99.0     25.291   25.124   99.0     24.991   24.913   99.0     24.311   0       0       0.53    0.5     0.5    0         
  EDCSNJ1018496-1212554   10.313789   -12.215377   25.441   99.0     24.204   25.265   99.0     24.318   25.276   99.0     24.296   0       0       0.8     0.11    0.83   0         
  EDCSNJ1018496-1213300   10.313785   -12.22499    23.953   99.0     22.368   23.613   99.0     22.01    23.567   99.0     21.952   0       0       0.54    0.04    0.5    0         
  EDCSNJ1018497-1210441   10.313794   -12.178924   24.287   99.0     23.658   23.975   99.0     23.404   23.953   99.0     23.525   0       0       0.94    0.04    0.99   0         
  EDCSNJ1018496-1211429   10.313791   -12.195255   24.977   99.0     23.574   24.821   99.0     23.299   24.918   99.0     23.268   0       0       0.93    0.01    0.99   0         
  EDCSNJ1018496-1214253   10.313775   -12.240357   25.042   99.0     23.477   24.767   99.0     23.312   24.622   99.0     23.326   3       3       0.93    0.12    0.49   0         
  EDCSNJ1018496-1210479   10.31379    -12.179982   25.144   99.0     24.148   24.763   99.0     23.802   24.435   99.0     23.776   0       0       0.95    0.11    0.98   0         
  EDCSNJ1018496-1212101   10.313786   -12.202794   27.278   99.0     24.185   26.507   99.0     24.038   25.312   99.0     23.918   0       0       0.37    0.7     0.99   0         
  EDCSNJ1018496-1209526   10.313791   -12.16461    24.511   99.0     23.532   23.912   99.0     22.94    23.831   99.0     22.948   3       3       0.15    0.01    0.64   0         
  EDCSNJ1018496-1210546   10.313785   -12.181836   27.807   99.0     23.991   99.0     99.0     23.798   99.0     99.0     23.826   0       0       0.38    0.55    0.99   0         
  EDCSNJ1018496-1209334   10.313783   -12.159281   25.976   99.0     24.522   25.315   99.0     23.891   25.03    99.0     23.663   1       1       0.53    0.2     0.49   0         
  EDCSNJ1018496-1210156   10.313778   -12.171004   25.462   99.0     24.665   25.237   99.0     24.333   25.093   99.0     24.393   0       0       0.7     0.66    0.94   0         
  EDCSNJ1018495-1213420   10.313758   -12.22834    24.868   99.0     23.722   24.529   99.0     23.445   24.354   99.0     23.238   0       0       0.63    0.03    0.5    0         
  EDCSNJ1018496-1208099   10.31377    -12.136086   25.134   99.0     22.97    24.816   99.0     22.638   24.568   99.0     22.553   3       3       0.91    0.43    0.21   0         
  EDCSNJ1018496-1210026   10.313764   -12.16739    20.986   99.0     19.426   20.427   99.0     18.93    20.286   99.0     18.799   2       2       0.03    0.03    0.78   0         
  EDCSNJ1018495-1209396   10.313762   -12.161012   25.152   99.0     23.865   24.663   99.0     23.44    24.622   99.0     23.557   0       0       0.15    0.02    0.51   0         
  EDCSNJ1018495-1211542   10.313754   -12.198383   23.891   99.0     22.594   23.475   99.0     22.207   23.245   99.0     22.082   2       2       0.5     0.04    0.99   0         
  EDCSNJ1018495-1208305   10.313758   -12.141818   24.152   99.0     22.716   23.802   99.0     22.332   23.83    99.0     22.248   0       0       0.91    0.03    0.47   0         
  EDCSNJ1018495-1214255   10.313737   -12.240414   24.296   99.0     23.062   24.081   99.0     22.868   23.936   99.0     22.866   3       3       0.96    0.41    0.49   0         
