# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   col17   col18   wmin   Starflag  
  EDCSNJ1138273-1136310   11.640911   -11.6086     26.209   25.811   25.735   26.471   25.469   25.941   28.659   25.389   99.0     0       0       0       0.73    0.73    0.44    0.0    0         
  EDCSNJ1138273-1132499   11.640904   -11.547196   26.746   25.593   25.282   26.825   25.052   24.985   26.737   24.779   24.767   0       0       0       0.62    0.88    0.58    0.0    0         
  EDCSNJ1138272-1132056   11.640901   -11.534894   26.384   25.861   25.65    25.927   25.305   24.921   25.183   24.945   24.157   0       0       0       0.75    0.74    0.58    0.0    0         
  EDCSNJ1138273-1135495   11.640907   -11.597086   25.745   24.903   24.707   25.787   24.513   25.138   25.636   24.336   27.145   0       0       0       0.95    0.97    0.95    0.0    0         
  EDCSNJ1138272-1132435   11.640899   -11.545429   26.595   25.523   25.869   26.649   25.177   25.905   26.322   24.845   25.676   0       0       0       0.53    0.74    0.49    0.0    0         
  EDCSNJ1138272-1131147   11.640893   -11.52074    29.085   99.0     25.271   27.385   99.0     24.602   26.818   99.0     24.368   2       2       2       0.52    0.39    0.57    0.0    0         
  EDCSNJ1138272-1132109   11.640895   -11.536356   25.103   24.623   23.732   24.839   24.214   23.2     24.853   24.072   23.057   3       3       3       0.96    0.9     0.17    0.0    0         
  EDCSNJ1138272-1136371   11.640901   -11.610306   27.09    25.479   26.019   27.151   25.019   99.0     99.0     24.866   99.0     0       0       0       0.62    0.86    0.67    0.0    0         
  EDCSNJ1138272-1137368   11.640896   -11.626896   22.799   22.204   21.572   21.804   21.2     20.561   21.382   20.771   20.116   19      19      19      0.04    0.03    0.03    0.0    0         
  EDCSNJ1138272-1135577   11.640894   -11.599357   25.969   25.323   25.072   26.711   24.97    25.127   99.0     24.801   25.759   0       0       0       0.93    0.76    0.93    0.0    0         
  EDCSNJ1138272-1132015   11.640883   -11.533755   25.516   24.784   24.47    25.168   24.372   24.133   25.084   24.244   24.245   0       0       0       0.95    0.97    0.95    0.0    0         
  EDCSNJ1138272-1132234   11.640883   -11.539836   26.027   25.741   25.198   25.487   25.043   24.519   25.197   24.587   23.884   0       0       0       0.65    0.83    0.58    0.0    0         
  EDCSNJ1138272-1131213   11.640878   -11.522585   26.011   26.504   25.453   26.128   99.0     24.967   26.037   99.0     24.912   0       0       0       0.78    0.58    0.53    0.0    0         
  EDCSNJ1138272-1135259   11.640886   -11.590529   25.044   24.664   24.56    25.042   24.378   24.692   25.211   24.158   25.361   0       0       0       0.97    0.89    0.96    0.0    0         
  EDCSNJ1138272-1135030   11.640883   -11.584166   26.302   25.98    26.418   25.838   26.126   26.302   25.532   27.117   25.416   0       0       0       0.68    0.82    0.5     0.0    0         
  EDCSNJ1138272-1135306   11.640883   -11.591841   23.796   23.413   23.028   23.392   22.911   22.576   23.373   22.834   22.548   2       2       2       0.15    0.03    0.03    0.0    0         
  EDCSNJ1138272-1133492   11.640879   -11.563668   25.138   24.47    23.855   24.845   24.183   23.645   24.722   24.073   23.522   0       0       0       0.97    0.95    0.95    0.0    0         
  EDCSNJ1138271-1131134   11.64087    -11.520394   27.062   99.0     25.414   27.299   99.0     24.84    26.526   99.0     24.531   0       0       0       0.62    0.42    0.6     0.0    0         
  EDCSNJ1138272-1136427   11.640881   -11.611858   26.078   25.058   24.577   26.394   24.812   24.677   27.773   24.554   25.047   0       0       0       0.88    0.96    0.95    0.0    0         
  EDCSNJ1138271-1131304   11.64087    -11.525123   26.691   26.72    25.23    28.794   99.0     25.084   99.0     99.0     24.487   0       0       0       0.53    0.51    0.73    0.0    0         
  EDCSNJ1138272-1137542   11.640877   -11.631734   26.293   25.643   25.294   25.613   24.639   24.607   25.107   24.029   23.9     0       0       0       0.56    0.84    0.62    0.0    0         
  EDCSNJ1138271-1137198   11.640875   -11.622175   25.105   23.745   22.382   24.654   23.328   22.002   24.413   23.098   21.939   3       3       3       0.98    0.85    0.91    0.0    0         
  EDCSNJ1138271-1137113   11.640875   -11.619816   22.307   21.905   21.498   21.542   21.101   20.692   21.379   20.912   20.502   0       0       0       0.03    0.03    0.03    0.0    0         
  EDCSNJ1138271-1132043   11.640867   -11.534539   26.061   25.944   25.366   25.179   24.943   24.401   24.866   24.413   24.133   0       0       0       0.56    0.6     0.57    0.0    0         
  EDCSNJ1138271-1137564   11.640869   -11.632337   25.13    24.387   24.045   24.623   23.894   23.826   24.23    23.401   23.517   0       0       0       0.96    0.97    0.97    0.0    0         
  EDCSNJ1138271-1137030   11.640869   -11.617505   25.345   25.155   25.424   25.453   25.096   25.503   25.631   24.883   26.565   0       0       0       0.95    0.95    0.64    0.0    0         
  EDCSNJ1138271-1132243   11.640861   -11.54009    25.655   25.229   24.906   24.998   24.577   24.011   24.928   24.332   23.621   1       1       1       0.93    0.87    0.9     0.0    0         
  EDCSNJ1138271-1134277   11.640866   -11.574358   25.521   24.541   23.197   25.428   24.41    23.184   25.329   24.338   23.468   0       0       0       0.95    0.97    0.98    0.0    0         
  EDCSNJ1138271-1133076   11.640861   -11.552122   25.679   25.082   24.735   25.23    24.494   24.224   24.916   24.068   24.038   0       0       0       0.94    0.87    0.94    0.0    0         
  EDCSNJ1138271-1135160   11.640864   -11.587782   25.988   25.721   26.755   25.899   25.123   99.0     26.201   24.754   99.0     0       0       0       0.68    0.67    0.59    0.0    0         
  EDCSNJ1138271-1137226   11.640862   -11.622936   26.16    24.811   23.772   25.025   23.907   22.955   24.197   23.287   22.51    3       3       3       0.82    0.71    0.82    0.0    0         
  EDCSNJ1138271-1135323   11.640862   -11.592297   24.82    24.401   24.174   24.721   24.088   24.063   24.986   24.021   24.522   3       3       3       0.98    0.98    0.96    0.0    0         
  EDCSNJ1138271-1134343   11.64086    -11.576206   23.626   22.647   21.198   23.562   22.521   21.061   23.534   22.485   21.076   0       0       0       0.98    0.99    0.98    0.0    0         
