# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059268-1253445   10.990767   -12.895699   25.174   -999.0   23.873   24.683   -999.0   23.333   24.462   -999.0   23.132   3       3       0.6     0.14    0.0    0         
  EDCSNJ1059269-1255050   10.990794   -12.918052   26.072   -999.0   24.95    25.362   -999.0   26.292   25.197   -999.0   99.0     0       0       0.42    0.5     0.0    0         
  EDCSNJ1059268-1254209   10.990773   -12.905796   25.183   -999.0   24.259   24.561   -999.0   23.955   24.38    -999.0   24.061   0       0       0.64    0.79    0.0    0         
  EDCSNJ1059267-1253316   10.990754   -12.892099   23.794   -999.0   22.417   23.485   -999.0   22.185   23.345   -999.0   22.128   3       3       0.97    0.98    0.0    0         
  EDCSNJ1059267-1254258   10.990759   -12.907178   28.766   -999.0   25.351   99.0     -999.0   24.657   99.0     -999.0   24.929   0       0       0.35    0.39    0.0    0         
  EDCSNJ1059266-1251110   10.990733   -12.853045   24.968   -999.0   24.109   24.611   -999.0   24.047   24.334   -999.0   24.15    0       0       0.81    0.64    0.0    0         
  EDCSNJ1059268-1255413   10.990789   -12.92815    23.671   -999.0   22.366   23.316   -999.0   21.946   23.287   -999.0   21.857   0       0       0.97    0.03    0.0    0         
  EDCSNJ1059266-1252026   10.990727   -12.867391   23.103   -999.0   21.778   22.589   -999.0   21.308   22.485   -999.0   21.224   2       2       0.08    0.03    0.0    0         
  EDCSNJ1059266-1253315   10.990728   -12.892096   23.554   -999.0   22.143   23.249   -999.0   21.796   23.146   -999.0   21.785   3       3       0.98    0.1     0.0    0         
  EDCSNJ1059268-1255335   10.990775   -12.925974   29.01    -999.0   25.747   99.0     -999.0   24.698   99.0     -999.0   24.491   0       0       0.37    0.48    0.0    0         
  EDCSNJ1059266-1252456   10.990713   -12.879342   27.035   -999.0   24.446   26.14    -999.0   24.311   27.359   -999.0   24.815   0       0       0.41    0.64    0.0    0         
  EDCSNJ1059266-1252225   10.990709   -12.872915   23.509   -999.0   22.137   22.695   -999.0   21.369   22.487   -999.0   21.183   3       3       0.02    0.02    0.0    0         
  EDCSNJ1059266-1254394   10.990736   -12.910951   26.22    -999.0   24.9     25.756   -999.0   24.643   25.435   -999.0   25.119   0       0       0.35    0.56    0.0    0         
  EDCSNJ1059266-1253561   10.990721   -12.898927   25.928   -999.0   24.509   25.723   -999.0   23.902   25.551   -999.0   23.884   2       2       0.45    0.6     0.0    0         
  EDCSNJ1059265-1252344   10.990706   -12.876221   25.998   -999.0   24.967   26.058   -999.0   25.272   26.59    -999.0   99.0     0       0       0.51    0.39    0.0    0         
  EDCSNJ1059266-1250092   10.990714   -12.8359     24.619   -999.0   22.052   24.186   -999.0   21.693   24.047   -999.0   21.646   0       0       0.94    0.06    0.0    0         
